Date,Open,High,Low,Close,Volume
1980-12-12,0.13,0.13,0.13,0.13,469034080
1980-12-15,0.12,0.12,0.12,0.12,175884976
1980-12-16,0.11,0.11,0.11,0.11,105728104
1980-12-17,0.12,0.12,0.12,0.12,86441688
1980-12-18,0.12,0.12,0.12,0.12,73449672
1980-12-19,0.13,0.13,0.13,0.13,48630448
1980-12-22,0.13,0.13,0.13,0.13,37363236
1980-12-23,0.14,0.14,0.14,0.14,46950448
1980-12-24,0.15,0.15,0.15,0.15,48003248
1980-12-26,0.16,0.16,0.16,0.16,55574456
1980-12-29,0.16,0.16,0.16,0.16,93161696
1980-12-30,0.16,0.16,0.16,0.16,68880072
1980-12-31,0.15,0.15,0.15,0.15,35750436
1981-01-02,0.15,0.16,0.15,0.15,21660822
1981-01-05,0.15,0.15,0.15,0.15,35728036
1981-01-06,0.14,0.14,0.14,0.14,45158444
1981-01-07,0.14,0.14,0.14,0.14,55686456
1981-01-08,0.14,0.14,0.14,0.14,39827240
1981-01-09,0.14,0.14,0.14,0.14,21504022
1981-01-12,0.14,0.14,0.14,0.14,23699224
1981-01-13,0.14,0.14,0.14,0.14,23049624
1981-01-14,0.14,0.14,0.14,0.14,14291214
1981-01-15,0.14,0.14,0.14,0.14,14067214
1981-01-16,0.14,0.14,0.14,0.14,13395213
1981-01-19,0.15,0.15,0.15,0.15,41574440
1981-01-20,0.14,0.14,0.14,0.14,30083230
1981-01-21,0.15,0.15,0.15,0.15,15904016
1981-01-22,0.15,0.15,0.15,0.15,35548836
1981-01-23,0.15,0.15,0.15,0.15,11222411
1981-01-26,0.14,0.14,0.14,0.14,24640024
1981-01-27,0.14,0.14,0.14,0.14,23699224
1981-01-28,0.14,0.14,0.14,0.14,28156828
1981-01-29,0.13,0.13,0.13,0.13,43904044
1981-01-30,0.13,0.13,0.13,0.13,46188848
1981-02-02,0.12,0.12,0.12,0.12,23766424
1981-02-03,0.12,0.12,0.12,0.12,19152020
1981-02-04,0.13,0.13,0.13,0.13,27865628
1981-02-05,0.13,0.13,0.13,0.13,7929608
1981-02-06,0.13,0.13,0.13,0.13,13865614
1981-02-09,0.12,0.12,0.12,0.12,16755217
1981-02-10,0.12,0.12,0.12,0.12,18345618
1981-02-11,0.12,0.12,0.12,0.12,13843214
1981-02-12,0.12,0.12,0.12,0.12,14560015
1981-02-13,0.11,0.11,0.11,0.11,11155211
1981-02-17,0.12,0.12,0.12,0.12,12275212
1981-02-18,0.12,0.12,0.12,0.12,19241620
1981-02-19,0.11,0.11,0.11,0.11,22310422
1981-02-20,0.11,0.11,0.11,0.11,24371224
