Date,Open,High,Low,Close,Volume
1997-05-15,0.12,0.12,0.1,0.1,1443120000
1997-05-16,0.1,0.1,0.09,0.09,294000000
1997-05-19,0.09,0.09,0.08,0.09,122136000
1997-05-20,0.09,0.09,0.08,0.08,109344000
1997-05-21,0.08,0.08,0.07,0.07,377064000
1997-05-22,0.07,0.07,0.07,0.07,233472000
1997-05-23,0.07,0.08,0.07,0.07,318744000
1997-05-27,0.08,0.08,0.07,0.08,173952000
1997-05-28,0.08,0.08,0.08,0.08,91488000
1997-05-29,0.08,0.08,0.07,0.08,69456000
1997-05-30,0.07,0.08,0.07,0.07,51888000
1997-06-02,0.08,0.08,0.07,0.08,11832000
1997-06-03,0.08,0.08,0.07,0.07,23664000
1997-06-04,0.07,0.07,0.07,0.07,61608000
1997-06-05,0.07,0.08,0.07,0.08,113448000
1997-06-06,0.08,0.09,0.08,0.08,156144000
1997-06-09,0.08,0.09,0.08,0.08,47040000
1997-06-10,0.09,0.09,0.08,0.08,109176000
1997-06-11,0.08,0.08,0.08,0.08,23760000
1997-06-12,0.08,0.08,0.08,0.08,32640000
1997-06-13,0.08,0.08,0.08,0.08,13872000
1997-06-16,0.08,0.08,0.08,0.08,18264000
1997-06-17,0.08,0.08,0.07,0.08,94128000
1997-06-18,0.08,0.08,0.07,0.08,49296000
1997-06-19,0.08,0.08,0.07,0.08,20064000
1997-06-20,0.08,0.08,0.07,0.08,67752000
1997-06-23,0.08,0.08,0.07,0.07,20952000
1997-06-24,0.08,0.08,0.07,0.08,15024000
1997-06-25,0.08,0.08,0.07,0.08,42120000
1997-06-26,0.08,0.08,0.08,0.08,63792000
1997-06-27,0.08,0.08,0.07,0.07,23760000
1997-06-30,0.08,0.08,0.07,0.08,54936000
1997-07-01,0.08,0.08,0.08,0.08,25848000
1997-07-02,0.08,0.08,0.08,0.08,77640000
1997-07-03,0.08,0.1,0.08,0.1,251544000
1997-07-07,0.09,0.1,0.09,0.1,161064000
1997-07-08,0.1,0.12,0.1,0.12,310344000
1997-07-09,0.12,0.12,0.11,0.12,165240000
1997-07-10,0.12,0.13,0.12,0.13,181032000
1997-07-11,0.13,0.13,0.11,0.11,210624000
1997-07-14,0.12,0.12,0.11,0.11,92088000
1997-07-15,0.11,0.12,0.11,0.12,185280000
1997-07-16,0.12,0.12,0.12,0.12,60480000
1997-07-17,0.12,0.12,0.11,0.11,63384000
1997-07-18,0.11,0.11,0.11,0.11,15600000
1997-07-21,0.11,0.11,0.11,0.11,11496000
1997-07-22,0.11,0.11,0.1,0.11,31272000
1997-07-23,0.11,0.12,0.11,0.11,65184000
1997-07-24,0.12,0.12,0.11,0.11,24336000
1997-07-25,0.11,0.11,0.11,0.11,12408000
1997-07-28,0.11,0.12,0.11,0.12,51480000
1997-07-29,0.12,0.12,0.12,0.12,96288000
1997-07-30,0.12,0.13,0.12,0.12,50352000
1997-07-31,0.12,0.12,0.12,0.12,29088000
1997-08-01,0.12,0.12,0.11,0.12,71760000
1997-08-04,0.12,0.12,0.12,0.12,53424000
1997-08-05,0.12,0.12,0.11,0.11,60648000
1997-08-06,0.11,0.12,0.11,0.11,24864000
1997-08-07,0.11,0.11,0.11,0.11,40656000
1997-08-08,0.11,0.12,0.11,0.11,44232000
1997-08-11,0.11,0.12,0.11,0.12,24792000
1997-08-12,0.11,0.12,0.11,0.11,11424000
1997-08-13,0.11,0.11,0.11,0.11,11808000
1997-08-14,0.11,0.11,0.11,0.11,20832000
1997-08-15,0.11,0.11,0.1,0.11,31944000
1997-08-18,0.1,0.1,0.1,0.1,35688000
1997-08-19,0.1,0.11,0.1,0.11,20064000
1997-08-20,0.11,0.11,0.1,0.11,19896000
1997-08-21,0.11,0.11,0.1,0.11,12480000
1997-08-22,0.11,0.11,0.1,0.11,14256000
1997-08-25,0.11,0.11,0.11,0.11,22536000
1997-08-26,0.11,0.12,0.11,0.12,52200000
1997-08-27,0.12,0.12,0.11,0.12,27840000
1997-08-28,0.12,0.12,0.11,0.12,22944000
1997-08-29,0.12,0.12,0.12,0.12,14448000
1997-09-02,0.12,0.12,0.12,0.12,14640000
1997-09-03,0.12,0.12,0.12,0.12,39288000
1997-09-04,0.12,0.13,0.12,0.13,66960000
1997-09-05,0.13,0.13,0.12,0.12,38160000
1997-09-08,0.13,0.15,0.12,0.15,112968000
1997-09-09,0.16,0.17,0.15,0.16,179424000
1997-09-10,0.17,0.17,0.16,0.17,77328000
1997-09-11,0.17,0.17,0.15,0.16,85248000
1997-09-12,0.16,0.18,0.16,0.18,66672000
1997-09-15,0.18,0.18,0.15,0.15,111576000
1997-09-16,0.16,0.18,0.16,0.17,128640000
1997-09-17,0.17,0.17,0.17,0.17,52152000
1997-09-18,0.17,0.17,0.16,0.16,42576000
1997-09-19,0.17,0.2,0.17,0.2,178584000
1997-09-22,0.2,0.23,0.2,0.22,338832000
1997-09-23,0.22,0.23,0.22,0.23,153672000
1997-09-24,0.23,0.24,0.21,0.22,164016000
1997-09-25,0.22,0.22,0.2,0.2,99360000
1997-09-26,0.2,0.21,0.2,0.21,54624000
1997-09-29,0.21,0.21,0.2,0.2,47424000
1997-09-30,0.2,0.22,0.19,0.22,105096000
1997-10-01,0.22,0.22,0.2,0.2,99984000
1997-10-02,0.2,0.21,0.2,0.2,37536000
1997-10-03,0.2,0.21,0.2,0.2,23280000
1997-10-06,0.2,0.21,0.2,0.21,40560000
1997-10-07,0.2,0.21,0.2,0.2,34848000
1997-10-08,0.21,0.21,0.2,0.2,56136000
1997-10-09,0.2,0.2,0.19,0.19,79008000
1997-10-10,0.19,0.2,0.18,0.2,75744000
1997-10-13,0.2,0.2,0.2,0.2,16296000
1997-10-14,0.2,0.21,0.19,0.2,30936000
1997-10-15,0.2,0.2,0.19,0.2,47112000
1997-10-16,0.2,0.2,0.18,0.18,69624000
