Date,Open,High,Low,Close,Volume
2004-08-20,2.54,2.73,2.51,2.71,228589952
2004-08-23,2.77,2.84,2.73,2.74,182804880
2004-08-24,2.78,2.79,2.59,2.62,152644480
2004-08-25,2.63,2.7,2.6,2.65,91982200
2004-08-26,2.63,2.7,2.62,2.7,71023360
2004-08-27,2.71,2.72,2.64,2.66,62179540
2004-08-30,2.64,2.64,2.55,2.55,52032400
2004-08-31,2.56,2.6,2.56,2.56,49268540
2004-09-01,2.57,2.58,2.49,2.51,91491560
2004-09-02,2.48,2.56,2.48,2.54,151340256
2004-09-03,2.53,2.55,2.49,2.5,51574100
2004-09-07,2.53,2.55,2.49,2.54,58541460
2004-09-08,2.52,2.58,2.51,2.56,49904520
2004-09-09,2.56,2.57,2.53,2.56,40657060
2004-09-10,2.54,2.67,2.53,2.64,87077696
2004-09-13,2.67,2.71,2.66,2.69,78546440
2004-09-14,2.69,2.8,2.67,2.79,109767136
2004-09-15,2.77,2.86,2.76,2.8,107249040
2004-09-16,2.81,2.9,2.79,2.85,92755720
2004-09-17,2.86,2.94,2.84,2.94,94972544
2004-09-20,2.93,3.04,2.92,2.99,106651240
2004-09-21,3.01,3.01,2.94,2.95,72358064
2004-09-22,2.94,2.99,2.92,2.96,75887856
2004-09-23,2.97,3.07,2.93,3.02,85461640
2004-09-24,3.03,3.11,3.0,3.0,91334144
2004-09-27,2.99,3.02,2.95,2.96,70736360
2004-09-28,3.03,3.19,3.01,3.17,169520544
2004-09-29,3.17,3.38,3.16,3.28,305499808
2004-09-30,3.25,3.31,3.23,3.24,137802496
2004-10-01,3.27,3.36,3.23,3.32,151426576
2004-10-04,3.4,3.43,3.35,3.38,130837504
2004-10-05,3.37,3.47,3.31,3.46,150145024
2004-10-06,3.45,3.46,3.4,3.43,133997664
2004-10-07,3.42,3.5,3.42,3.47,141337456
2004-10-08,3.47,3.5,3.43,3.45,110877480
2004-10-11,3.43,3.47,3.35,3.38,104985264
2004-10-12,3.37,3.44,3.34,3.44,118402864
2004-10-13,3.59,3.59,3.51,3.53,197896656
2004-10-14,3.53,3.56,3.47,3.55,104686080
2004-10-15,3.63,3.64,3.55,3.61,132088960
2004-10-18,3.58,3.73,3.53,3.73,140655600
2004-10-19,3.77,3.81,3.69,3.7,181388016
2004-10-20,3.7,3.73,3.49,3.52,227792544
2004-10-21,3.61,3.76,3.54,3.74,299960000
2004-10-22,4.27,4.51,4.11,4.31,738396800
2004-10-25,4.41,4.87,4.32,4.69,655505536
2004-10-26,4.67,4.82,4.5,4.55,446277184
2004-10-27,4.56,4.74,4.55,4.65,267469632
2004-10-28,4.67,4.86,4.64,4.84,297132096
2004-10-29,4.98,5.0,4.77,4.77,423669312
2004-11-01,4.84,4.95,4.79,4.91,244672352
2004-11-02,4.97,4.99,4.84,4.88,227319904
